run,model,split,gen_time
65,RectFlow,Y1,0.7698861999997462
65,RectFlow,Y2,0.7652650999989419
66,CWGAN,Y1,0.2333658999996259
66,CWGAN,Y2,0.1710736999993969
66,Diffusion,Y1,0.8197082000006048
66,Diffusion,Y2,0.8624535000017204
66,RectFlow,Y1,0.7647400999994716
66,RectFlow,Y2,0.7642931000009412
67,CWGAN,Y1,0.2336345000003348
67,CWGAN,Y2,0.2091528000019025
67,Diffusion,Y1,0.8466281999972125
67,Diffusion,Y2,0.8462302000007185
67,RectFlow,Y1,0.7789630000006582
67,RectFlow,Y2,0.7643098999978974
68,CWGAN,Y1,0.2349985000000742
68,CWGAN,Y2,0.2138661000026331
68,Diffusion,Y1,0.8488699000008637
68,Diffusion,Y2,0.8336366999974416
68,RectFlow,Y1,0.7872199999983422
68,RectFlow,Y2,0.7740276999975322
69,CWGAN,Y1,0.2055194999993546
69,CWGAN,Y2,0.2122976999999082
69,Diffusion,Y1,0.8236587000028521
69,Diffusion,Y2,0.8324307000002591
69,RectFlow,Y1,0.7704072999986238
69,RectFlow,Y2,0.7691657999966992
70,CWGAN,Y1,0.2149349999999685
70,CWGAN,Y2,0.1914812000031815
70,Diffusion,Y1,0.8409926000022097
70,Diffusion,Y2,0.8263427000019874
70,RectFlow,Y1,0.7782965000005788
70,RectFlow,Y2,0.7764171999988321
71,CWGAN,Y1,0.2461175999997067
71,CWGAN,Y2,0.1729567999973369
71,Diffusion,Y1,0.8378756000020076
71,Diffusion,Y2,0.8399595000009867
71,RectFlow,Y1,0.7661612000010791
71,RectFlow,Y2,0.7843761000003724
72,CWGAN,Y1,0.207202600002347
72,CWGAN,Y2,0.2131329000003461
72,Diffusion,Y1,0.8374431999982335
72,Diffusion,Y2,0.8423299999994924
72,RectFlow,Y1,0.7918581999983871
72,RectFlow,Y2,0.7693134999972244
73,CWGAN,Y1,0.1988404000003356
73,CWGAN,Y2,0.2265202999988105
73,Diffusion,Y1,0.8443961000011768
73,Diffusion,Y2,0.8322158999981184
73,RectFlow,Y1,0.7815688000009686
73,RectFlow,Y2,0.7618758999997226
74,CWGAN,Y1,0.2523885000009613
74,CWGAN,Y2,0.2068430000035732
74,Diffusion,Y1,0.8342832999987877
74,Diffusion,Y2,0.8318021999984921
74,RectFlow,Y1,0.7767027000008966
74,RectFlow,Y2,0.7812907000006817
75,CWGAN,Y1,0.2316542999978992
75,CWGAN,Y2,0.2315656999999191
75,Diffusion,Y1,0.8587697000002663
75,Diffusion,Y2,0.8486510999973689
75,RectFlow,Y1,0.7887050000026647
75,RectFlow,Y2,0.7775201000004017
